Season,Round,Age,Location,name,value
Spring/Summer,2,32,Berth C,MUFA~(g~m^-2),0.01590417025011922
Spring/Summer,2,32,Berth C,PUFA~(g~m^-2),0.020084746375786503
Spring/Summer,2,32,Berth C,ω-3~PUFA~(g~m^-2),0.014079101532892423
Spring/Summer,2,32,Berth G,Dry~weight~(g~m^-2),22.26346666666666
Spring/Summer,2,32,Berth G,Fat~(g~m^-2),0.1313544533333333
Spring/Summer,2,32,Berth G,Protein~(g~m^-2),1.6029695999999998
Spring/Summer,2,32,Berth G,EPA~(g~m^-2),0.006180209072501043
Spring/Summer,2,32,Berth G,SFA~(g~m^-2),0.043973758790439625
Spring/Summer,2,32,Berth G,MUFA~(g~m^-2),0.018268279021087828
Spring/Summer,2,32,Berth G,PUFA~(g~m^-2),0.019671919725689768
Spring/Summer,2,32,Berth G,ω-3~PUFA~(g~m^-2),0.013963082531599814
Spring/Summer,2,32,Berth G,Dry~weight~(g~m^-2),24.385066666666667
Spring/Summer,2,32,Berth G,Fat~(g~m^-2),0.15362592000000003
Spring/Summer,2,32,Berth G,Protein~(g~m^-2),1.9264202666666668
Spring/Summer,2,32,Berth G,EPA~(g~m^-2),0.00725154207372081
Spring/Summer,2,32,Berth G,SFA~(g~m^-2),0.05373515584119895
Spring/Summer,2,32,Berth G,MUFA~(g~m^-2),0.021570264982000046
Spring/Summer,2,32,Berth G,PUFA~(g~m^-2),0.0228485029068593
Spring/Summer,2,32,Berth G,ω-3~PUFA~(g~m^-2),0.01578132207230088
Spring/Summer,2,32,Berth G,Dry~weight~(g~m^-2),21.96426666666667
Spring/Summer,2,32,Berth G,Fat~(g~m^-2),0.11201776000000005
Spring/Summer,2,32,Berth G,Protein~(g~m^-2),1.076249066666667
Spring/Summer,2,32,Berth G,EPA~(g~m^-2),0.005696889010807404
Spring/Summer,2,32,Berth G,SFA~(g~m^-2),0.0381068466488539
Spring/Summer,2,32,Berth G,MUFA~(g~m^-2),0.01670790730200859
Spring/Summer,2,32,Berth G,PUFA~(g~m^-2),0.017428919817438902
Spring/Summer,2,32,Berth G,ω-3~PUFA~(g~m^-2),0.011625214137678861
Spring/Summer,2,54,Berth C,Dry~weight~(g~m^-2),65.58186666666667
Spring/Summer,2,54,Berth C,Fat~(g~m^-2),0.4853058133333334
Spring/Summer,2,54,Berth C,Protein~(g~m^-2),13.509864533333335
Spring/Summer,2,54,Berth C,EPA~(g~m^-2),0.03872397327154394
Spring/Summer,2,54,Berth C,SFA~(g~m^-2),0.13208747282923639
Spring/Summer,2,54,Berth C,MUFA~(g~m^-2),0.054097390660346883
Spring/Summer,2,54,Berth C,PUFA~(g~m^-2),0.12418778228184141
Spring/Summer,2,54,Berth C,ω-3~PUFA~(g~m^-2),0.10014019488021267
Spring/Summer,2,54,Berth C,Dry~weight~(g~m^-2),56.58666666666665
Spring/Summer,2,54,Berth C,Fat~(g~m^-2),0.4809866666666666
Spring/Summer,2,54,Berth C,Protein~(g~m^-2),4.07424
Spring/Summer,2,54,Berth C,EPA~(g~m^-2),0.033828185707276665
Spring/Summer,2,54,Berth C,SFA~(g~m^-2),0.1459609331028744
Spring/Summer,2,54,Berth C,MUFA~(g~m^-2),0.05677753442005413
Spring/Summer,2,54,Berth C,PUFA~(g~m^-2),0.14111735196751435
Spring/Summer,2,54,Berth C,ω-3~PUFA~(g~m^-2),0.09302751069501082
Spring/Summer,2,54,Berth C,Dry~weight~(g~m^-2),84.11999999999999
Spring/Summer,2,54,Berth C,Fat~(g~m^-2),0.5131319999999998
Spring/Summer,2,54,Berth C,Protein~(g~m^-2),19.095239999999993
Spring/Summer,2,54,Berth C,EPA~(g~m^-2),0.04468920870190733
Spring/Summer,2,54,Berth C,SFA~(g~m^-2),0.14035721844154606
Spring/Summer,2,54,Berth C,MUFA~(g~m^-2),0.054909796247621316
Spring/Summer,2,54,Berth C,PUFA~(g~m^-2),0.13853654697591272
Spring/Summer,2,54,Berth C,ω-3~PUFA~(g~m^-2),0.11139199057919863
Spring/Summer,2,54,Berth G,Dry~weight~(g~m^-2),75.37013333333333
Spring/Summer,2,54,Berth G,Fat~(g~m^-2),0.5954240533333333
Spring/Summer,2,54,Berth G,Protein~(g~m^-2),10.70255893333333
Spring/Summer,2,54,Berth G,EPA~(g~m^-2),0.05745851605633681
Spring/Summer,2,54,Berth G,SFA~(g~m^-2),0.16193725108544255
Spring/Summer,2,54,Berth G,MUFA~(g~m^-2),0.06933327604131306
Spring/Summer,2,54,Berth G,PUFA~(g~m^-2),0.17275860494271933
Spring/Summer,2,54,Berth G,ω-3~PUFA~(g~m^-2),0.13081388822159348
Spring/Summer,2,54,Berth G,Dry~weight~(g~m^-2),90.80906666666668
Spring/Summer,2,54,Berth G,Fat~(g~m^-2),0.6084207466666667
Spring/Summer,2,54,Berth G,Protein~(g~m^-2),19.70556746666667
Spring/Summer,2,54,Berth G,EPA~(g~m^-2),0.05518905900942262
Spring/Summer,2,54,Berth G,SFA~(g~m^-2),0.15755743749061704
Spring/Summer,2,54,Berth G,MUFA~(g~m^-2),0.06881538419847474
Spring/Summer,2,54,Berth G,PUFA~(g~m^-2),0.16161114713467206
Spring/Summer,2,54,Berth G,ω-3~PUFA~(g~m^-2),0.1291814699822326
Spring/Summer,2,54,Berth G,Dry~weight~(g~m^-2),112.37280000000001
Spring/Summer,2,54,Berth G,Fat~(g~m^-2),0.9888806400000001
Spring/Summer,2,54,Berth G,Protein~(g~m^-2),9.102196800000002
Spring/Summer,2,54,Berth G,EPA~(g~m^-2),0.09585845033714038
Spring/Summer,2,54,Berth G,SFA~(g~m^-2),0.3098366936103769
Spring/Summer,2,54,Berth G,MUFA~(g~m^-2),0.1251705384567618
Spring/Summer,2,54,Berth G,PUFA~(g~m^-2),0.277355731099445
Spring/Summer,2,54,Berth G,ω-3~PUFA~(g~m^-2),0.17753618777316663
