Season,Round,Age,Location,Replicate,% moisture,Wet weight g,Protein g/100g dry weight,Protein g/100g wet weight,fat g/100g dry weight,fat g/100g wet weight,fat mg/g dry weight,fat mg/g wet weight,total fat (g/cm2),protein g/cm2,No. of days,average dry weight accumulation (g/m2/day),average daily fat accumulation (g/m2/day),average daily protein accumulation (g/m2/day),dry weight,name,value
Spring/Summer,1,13,Berth G,C,95.2,15.2101,5.2,0.2,0.82,0.04,8.2,0.39,3.1868479999999996e-4,0.0020209279999999995,13,0.05605384615384615,0.24514215384615382,1.5545599999999997,0.7287,ω3~PUFA~(g/m^2),0.41293828975347574
Spring/Summer,1,32,Berth C,A,91,27.6885,12.1,1.1,0.92,0.08,9.2,0.83,0.0012144000000000002,0.015972000000000004,32,0.07734375000000002,0.37950000000000006,4.991250000000001,2.475,Fat~(g/m^2),12.144000000000002
Spring/Summer,1,32,Berth C,A,91,27.6885,12.1,1.1,0.92,0.08,9.2,0.83,0.0012144000000000002,0.015972000000000004,32,0.07734375000000002,0.37950000000000006,4.991250000000001,2.475,Dry~weight~(g),2.4750000000000005
Spring/Summer,1,32,Berth C,A,91,27.6885,12.1,1.1,0.92,0.08,9.2,0.83,0.0012144000000000002,0.015972000000000004,32,0.07734375000000002,0.37950000000000006,4.991250000000001,2.475,Protein~(g/m^2),159.72000000000003
Spring/Summer,1,32,Berth C,A,91,27.6885,12.1,1.1,0.92,0.08,9.2,0.83,0.0012144000000000002,0.015972000000000004,32,0.07734375000000002,0.37950000000000006,4.991250000000001,2.475,EPA~(g/m^2),0.8171123922582257
Spring/Summer,1,32,Berth C,A,91,27.6885,12.1,1.1,0.92,0.08,9.2,0.83,0.0012144000000000002,0.015972000000000004,32,0.07734375000000002,0.37950000000000006,4.991250000000001,2.475,SFA~(g/m^2),3.9941231935860397
Spring/Summer,1,32,Berth C,A,91,27.6885,12.1,1.1,0.92,0.08,9.2,0.83,0.0012144000000000002,0.015972000000000004,32,0.07734375000000002,0.37950000000000006,4.991250000000001,2.475,MUFA~(g/m^2),1.8949225477607423
Spring/Summer,1,32,Berth C,A,91,27.6885,12.1,1.1,0.92,0.08,9.2,0.83,0.0012144000000000002,0.015972000000000004,32,0.07734375000000002,0.37950000000000006,4.991250000000001,2.475,PUFA~(g/m^2),2.6643700504705716
Spring/Summer,1,32,Berth C,A,91,27.6885,12.1,1.1,0.92,0.08,9.2,0.83,0.0012144000000000002,0.015972000000000004,32,0.07734375000000002,0.37950000000000006,4.991250000000001,2.475,ω3~PUFA~(g/m^2),1.8462849053644195
Spring/Summer,1,32,Berth C,B,86.5,19.7214,6.6,0.9,0.88,0.12,8.8,1.19,0.0012704384,0.009528288,32,0.084590625,0.397012,2.9775899999999997,2.7069,Fat~(g/m^2),12.704384
Spring/Summer,1,32,Berth C,B,86.5,19.7214,6.6,0.9,0.88,0.12,8.8,1.19,0.0012704384,0.009528288,32,0.084590625,0.397012,2.9775899999999997,2.7069,Dry~weight~(g),2.7069
