"name","contrast","estimate","SE","df","t.ratio","p.value"
"C18:0 stearic acid","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",-0.31,0.08,63,-3.65,"0.007"
"C18:0 stearic acid","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.23,0.08,63,2.78,"0.074"
"C18:0 stearic acid","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.16,0.08,63,1.93,"0.396"
"C18:0 stearic acid","(Age32 Spring/Summer) - (Age54 Spring/Summer)",0.03,0.08,63,0.42,"0.998"
"C18:0 stearic acid","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.56,0.08,63,6.72,"<0.001"
"C18:0 stearic acid","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",1.1,0.08,63,13.15,"<0.001"
"C18:0 stearic acid","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",1.03,0.08,63,12.3,"<0.001"
"C18:0 stearic acid","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",0.53,0.08,63,6.3,"<0.001"
"C18:0 stearic acid","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",1.07,0.08,63,12.73,"<0.001"
"C18:0 stearic acid","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.99,0.08,63,11.88,"<0.001"
"C18:0 stearic acid","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",0.54,0.08,63,6.43,"<0.001"
"C18:0 stearic acid","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",0.47,0.08,63,5.58,"<0.001"
"C18:0 stearic acid","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0.07,0.08,63,-0.85,"0.956"
"C18:1n7 vaccenic acid","(Age13 Spring/Summer) - (Age32 Spring/Summer)",-0.44,0.08,63,-5.67,"<0.001"
"C18:1n7 vaccenic acid","(Age13 Spring/Summer) - (Age54 Spring/Summer)",-0.65,0.08,63,-8.25,"<0.001"
"C18:1n7 vaccenic acid","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",-0.21,0.08,63,-2.68,"0.094"
"C18:1n7 vaccenic acid","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.1,0.08,63,1.33,"0.765"
"C18:1n7 vaccenic acid","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.04,0.08,63,0.52,"0.995"
"C18:1n7 vaccenic acid","(Age32 Spring/Summer) - (Age54 Spring/Summer)",-0.2,0.08,63,-2.58,"0.118"
"C18:1n7 vaccenic acid","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.23,0.08,63,2.99,"0.044"
"C18:1n7 vaccenic acid","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.55,0.08,63,7,"<0.001"
"C18:1n7 vaccenic acid","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.48,0.08,63,6.19,"<0.001"
"C18:1n7 vaccenic acid","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",0.44,0.08,63,5.57,"<0.001"
"C18:1n7 vaccenic acid","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",0.75,0.08,63,9.58,"<0.001"
"C18:1n7 vaccenic acid","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.69,0.08,63,8.77,"<0.001"
"C18:1n7 vaccenic acid","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",0.31,0.08,63,4.01,"0.002"
"C18:1n7 vaccenic acid","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",0.25,0.08,63,3.2,"0.025"
"C18:1n7 vaccenic acid","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0.06,0.08,63,-0.81,"0.964"
"C18:1n9c oleic acid","(Age13 Spring/Summer) - (Age32 Spring/Summer)",-0.25,0.08,63,-3.15,"0.028"
"C18:1n9c oleic acid","(Age13 Spring/Summer) - (Age54 Spring/Summer)",-0.26,0.08,63,-3.28,"0.020"
"C18:1n9c oleic acid","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.11,0.08,63,1.39,"0.735"
"C18:1n9c oleic acid","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.66,0.08,63,8.34,"<0.001"
"C18:1n9c oleic acid","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.29,0.08,63,3.7,"0.006"
"C18:1n9c oleic acid","(Age32 Spring/Summer) - (Age54 Spring/Summer)",-0.01,0.08,63,-0.13,">0.999"
"C18:1n9c oleic acid","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.36,0.08,63,4.54,"<0.001"
"C18:1n9c oleic acid","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.91,0.08,63,11.5,"<0.001"
"C18:1n9c oleic acid","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.54,0.08,63,6.86,"<0.001"
"C18:1n9c oleic acid","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",0.37,0.08,63,4.67,"<0.001"
