"Units","FAME","Season","Age","n","min","max","median","iqr","mean","sd","se","ci"
"mg/100g","C15:0 pentadecanoic acid","Spring/Summer","13",12,2.946,5.255,3.83,0.973,4.019,0.782,0.226,0.497
"mg/100g","C15:0 pentadecanoic acid","Autumn/Winter","13",12,0,2.519,1.175,0.691,1.213,0.628,0.181,0.399
"mg/100g","C15:0 pentadecanoic acid","Spring/Summer","32",12,2.594,7.148,4.818,1.638,4.564,1.286,0.371,0.817
"mg/100g","C15:0 pentadecanoic acid","Autumn/Winter","32",12,4.596,9.862,6.929,2.365,7.193,1.767,0.51,1.123
"mg/100g","C15:0 pentadecanoic acid","Spring/Summer","54",12,3.736,9.143,5.511,2.05,5.729,1.524,0.44,0.968
"mg/100g","C15:0 pentadecanoic acid","Autumn/Winter","54",12,5.347,9.157,7.135,1.099,7.234,0.964,0.278,0.613
"mg/100g","C16:0 palmitic acid","Spring/Summer","13",12,163.455,262.796,197.131,50.747,206.954,35.533,10.258,22.577
"mg/100g","C16:0 palmitic acid","Autumn/Winter","13",12,15.417,73.395,35.299,31.147,37.984,20.232,5.84,12.855
"mg/100g","C16:0 palmitic acid","Spring/Summer","32",12,97.669,253.976,170.053,79.46,164.394,52.536,15.166,33.38
"mg/100g","C16:0 palmitic acid","Autumn/Winter","32",12,229.812,410.269,345.182,84.948,341.179,60.671,17.514,38.549
"mg/100g","C16:0 palmitic acid","Spring/Summer","54",12,66.599,172.723,98.939,31.834,109.132,34.142,9.856,21.693
"mg/100g","C16:0 palmitic acid","Autumn/Winter","54",12,292.723,525.366,423.822,144.687,418.35,82.986,23.956,52.727
"mg/100g","C16:1 palmitoleic acid","Spring/Summer","13",12,54.017,128.063,97.483,38.122,97.049,23.45,6.769,14.899
"mg/100g","C16:1 palmitoleic acid","Autumn/Winter","13",12,7.768,56.912,22.755,18.086,24.438,15.41,4.449,9.791
